acc_x,acc_y,acc_z
-0.868,0.06,-0.118
-0.725,0.133,0.376
0.004,-0.011,-0.124
-0.476,0.259,-0.113
-0.703,-0.106,0.291
0.678,-0.295,0.877
-0.003,-0.042,1.359
-1.018,-0.01,-0.854
0.029,0.592,-0.369
-0.788,-0.954,0.783
0.919,-1.89,-0.635
-1.757,1.631,0.887
-0.567,-0.038,-3.156
-1.156,-0.454,0.21
1.155,-1.344,0.561
1.826,-0.63,1.103
-0.158,0.719,0.86
-4.226,2.439,0.495
-0.092,1.791,-1.873
0.644,0.905,-0.973
-0.603,-1.171,-0.551
-0.709,0.369,0.304
-0.901,0.015,0.621
-0.567,1.587,0.411
-1.376,0.525,-0.208
1.404,0.186,0.203
1.22,-0.606,0.19
2.521,0.466,1.058
-2.087,2.658,-3.52
0.298,0.016,-2.561
0.506,0.177,-1.19
0.005,0.876,0.562
-0.786,1.66,2.859
-1.5,1.397,3.256
-1.188,0.021,3.815
-2.109,-0.458,3.09
-2.048,0.205,3.208
2.889,1.773,20.217
6.146,4.976,19.668
3.771,8.216,2.933
7.385,20.773,-6.47
-13.286,18.245,-4.366
-2.441,7.638,-16.877
-4.476,6.57,-6.929
1.676,0.55,-4.4
-0.568,1.1,-0.546
0.927,1.419,-0.71
1.522,0.373,-0.475
0.12,0.465,0.044
0.616,1.11,0.645
-0.436,0.655,-0.147
0.019,0.02,0.098
0.333,1.12,0.288
-0.082,0.796,-0.697
-0.797,1.514,-0.563
-0.137,0.066,-0.426
0.062,0.101,-0.249
1.22,1.14,-0.864
0.072,-0.44,-0.733
-0.508,0.418,0.229
1.177,-0.189,-0.624
0.099,0.892,-0.31
-1.834,2.26,0.067
-0.28,0.063,-0.628
0.926,-0.224,-1.291
-0.672,1.231,-1.803
-0.764,1.321,-1.278
-0.11,0.938,-0.783
0.35,0.217,-0.369
-0.368,0.648,-0.478
1.854,1.925,3.022
-1.58,-0.051,1.494
-1.417,-0.3,1.987
0.092,-0.522,1.25
-0.048,-0.139,1.148
-0.368,-0.814,0.368
1.429,1.634,2.298
0.037,-0.219,-0.84
-0.844,-0.271,-0.186
0.845,0.36,0.269
0.879,0.175,-0.906
-1.532,0.522,-0.294
1.566,0.613,-1.939
-0.514,0.204,-1.477
-0.054,0.14,-0.254
0.13,-0.289,0.166
1.177,-1.471,-0.856
0.131,-0.24,-0.681
-2.069,-0.019,-0.017
0.715,-0.334,-0.499
2.328,-0.855,-1.11
-1.381,0.99,0.204
-1.045,0.866,0.148
-6.952,-1.61,0.801
7.043,0.116,-4.043
1.568,0.434,-4.544
0.133,1.812,-2.235
1.249,1.973,-0.475
-0.603,1.808,1.757
-0.958,0.215,2.708
-1.112,-0.949,2.528
-1.434,-0.999,2.666
-1.434,-1.173,2.463
-3.032,-1.775,5.01
-2.242,-1.812,5.73
-2.269,3.799,7.386
1.503,5.233,12.65
-19.7,20.694,-2.711
-18.669,22.564,-2.741
3.795,8.543,-15.632
-8.582,5.913,-14.714
-2.101,0.751,-3.877
-3.612,1.724,-2.395
-0.535,0.636,-2.077
0.626,0.421,-0.691
0.766,1.024,-0.423
-0.088,0.684,-0.151
0.12,0.502,-0.69
1.24,1.033,1.253
0.519,0.556,-0.931
0.26,0.656,0.551
0.653,1.045,-0.458
0.317,0.15,-0.403
-1.041,1.508,-0.148
1.351,0.792,-0.407
-0.314,0.441,-0.639
-0.931,1.205,-0.122
-1.399,1.351,-0.548
-1.1,1.506,-0.299
0.714,0.357,-0.553
-1.331,1.203,-0.322
-1.591,1.052,-0.378
1.175,0.372,-2.117
-0.344,1.688,-0.654
2.268,-0.826,-0.696
-1.765,2.025,0.553
0.268,0.813,0.047
0.089,0.936,0.886
-0.015,-0.201,0.134
0.1,0.735,2.183
-0.584,-0.34,0.198
-0.52,-0.04,1.134
0.094,-0.197,1.549
-0.912,-0.141,0.776
0.854,0.431,0.021
-0.632,-0.074,0.133
0.409,-0.677,0.381
-0.665,0.719,-0.214
-1.58,-0.065,-0.094
1.173,0.148,-0.225
-0.364,-0.072,-0.428
0.45,0.958,-0.993
0.835,1.066,-1.614
-1.686,0.241,-0.424
0.376,-0.155,-0.363
0.081,0.16,-0.059
0.448,0.368,-0.465
-0.365,0.447,-1.975
-1.837,0.125,-0.621
0.969,-1.077,-3.683
-1.307,0.525,0.308
2.075,0.884,-1.279
3.909,3.716,-3.914
-24.503,5.214,2.838
8.258,0.79,-3.357
4.235,0.197,-2.771
-1.814,2.142,2.671
-0.66,0.564,2.132
-1.071,-0.771,2.144
-1.044,-0.462,2.273
0.006,-0.665,2.794
-0.812,-1.797,2.679
-3.885,0.543,7.094
-2.062,3.849,8.718
6.566,9.483,11.53
14.07,8.911,15.979
1.686,11.903,13.749
-57.052,-5.219,29.894
-52.412,18.011,7.007
6.636,13.975,-8.474
-5.311,10.958,-12.175
-6.342,3.021,-7.922
-5.915,3.735,-2.608
-1.068,1.504,-2.965
