acc_x,acc_y,acc_z
-0.077,0.665,-1.153
0.018,0.359,-0.87
-0.105,0.119,-0.803
-0.292,0.009,-0.506
0.103,0.65,-0.339
0.349,0.384,-0.416
0.023,0.092,-0.368
-0.48,0.101,-0.067
0.046,1.775,1.524
-3.989,-2.388,-0.601
0.936,-0.648,1.396
-6.585,5.815,2.336
4.3,0.294,-1.553
-1.246,-1.158,0.044
2.99,-1.978,-1.725
0.365,-0.276,-0.314
-2.38,-0.55,-0.719
-0.396,3.082,-0.512
-1.334,1.659,-1.595
0.636,1.992,-0.163
3,-3.227,1.521
1.199,-1.625,0.999
-6.853,-0.321,3.02
-2.37,-0.719,0.404
-0.9,1.733,-0.27
-5.392,5.019,3.279
0.98,-1.127,1.381
-0.204,0.503,-0.258
-0.871,0.761,-0.601
-0.46,0.452,-0.599
-0.588,0.131,-0.287
0.787,-0.545,-0.521
0.581,-1.022,-0.048
0.945,-0.349,0.42
-0.621,0.358,-1.071
0.019,0.363,-0.264
2.2,-0.237,1.448
17.509,-13.384,14.089
26.303,-14.038,26.301
-6.777,-5.329,-25.211
-8.322,0.879,38.479
-4.737,26.743,-12.266
0.194,10.452,-12.711
-0.587,3.975,-8.355
0.664,0.579,-0.852
-0.83,-0.336,5.012
3.12,-1.875,0.623
1.421,-3.034,6.244
6.332,-1.976,3.935
0.67,-2.688,4.677
2.045,-2.383,1.938
0.119,-0.733,1.987
-0.417,-0.509,1.276
0.19,-0.156,0.826
0.014,0.027,0.43
-0.796,-0.158,0.476
-0.909,0.001,0.089
-0.261,0.269,-0.052
-1.108,0.133,-0.83
-0.308,0.96,-1.349
0.488,0.494,-1.055
0.815,0.026,-0.632
-0.574,0.665,-0.304
0.769,0.202,-0.322
0.174,0.074,0.01
0.751,-0.321,0.242
0.292,-0.226,0.026
-0.871,3.697,0.418
-1.287,-0.35,0.24
-0.166,0.26,-0.498
0.185,-0.054,-0.537
1.242,-1.669,-0.814
-1.038,-0.36,0.121
0.536,0.593,2.057
-2.155,2.435,0.932
-0.905,0.022,-0.797
2.389,-0.477,-1.11
-0.575,0.743,-0.017
-0.73,-0.281,-0.185
0.583,-0.411,0.401
-0.664,-0.171,0.303
0.413,-0.028,0.207
-0.316,0.025,0.102
-0.127,0.157,-0.091
-0.23,0.062,-0.07
0.352,-0.02,-0.009
-0.173,-0.019,-0.013
-0.027,0.03,0.003
0.105,0.134,-0.139
0.038,0.036,0.026
-0.27,-0.048,0.078
0.627,-0.225,-0.059
0.249,-0.454,0.901
0.251,-0.589,0.474
-0.159,0.105,-0.101
-0.521,0.218,0.064
-0.352,0.604,-0.637
0.455,0.107,-0.951
-0.07,0.564,-0.594
-0.898,0.67,-0.521
-0.903,1.474,-0.051
0.058,0.337,-0.074
-1.055,-0.296,0.464
1.406,-1.798,-0.942
-0.294,-1.059,0.596
4.854,-1.354,-0.124
-0.993,1.104,0.574
-1.852,0.536,0.205
-1.179,0.399,1.223
-1.495,-0.304,0.836
0.366,0.112,0.45
-0.093,-0.229,-0.471
-0.083,0.319,-0.134
-0.306,0.227,0.227
0.085,0.529,-0.22
-0.246,-0.246,0.048
0.07,0.166,0.729
11.082,-7.675,14.124
22.477,-19.593,32.924
21.793,-6.144,-39.745
-6.214,-1.853,42.811
-0.078,23.751,-16.244
3.49,7.685,-13.102
-2.124,4.455,-8.37
-2.839,2.003,0.371
-0.551,1.825,-0.096
0.377,1.088,1.122
0.686,0.895,1.846
1.53,-0.158,2.461
0.531,-0.399,3.353
1.282,-0.128,2.8
0.455,-0.243,1.758
-0.037,-0.217,0.794
-0.119,-0.635,0.538
0.229,0.096,0.755
-0.571,-0.066,-0.041
-0.52,0.274,0.34
-0.87,-0.186,-0.082
0.901,0.497,-0.103
-0.616,-0.023,0.054
-0.096,0.236,0.27
-0.413,-0.123,0.103
-0.555,0.142,0.028
0.252,0.129,0.348
0.192,0.143,0.45
-0.471,-0.078,-0.109
-0.437,0.004,0.71
-0.51,0.075,0.358
-0.522,-0.052,0.086
-0.15,-0.226,0.391
-0.356,0.109,-0.043
0.521,0.052,-0.019
0.5,0.046,-0.072
0.085,0.093,0.026
-0.098,0.018,0.211
-0.113,0.026,-0.122
0.119,-0.045,-0.055
0.032,0.28,0.552
-0.149,-0.62,-0.281
-0.831,0.627,1.076
0.022,-0.173,-0.164
-0.402,0.186,0.099
-0.16,-0.131,0.03
-0.075,-0.055,0.247
-0.071,0.154,-0.62
-0.915,0.741,-0.236
-1.536,1.019,0.007
-0.709,-2.275,0.656
0.163,1.252,3.08
-1.283,0.413,-0.224
2.788,0.047,-2.402
1.332,-1.511,0.001
-0.421,-0.18,1.187
-0.67,0.627,0.451
0.089,0.396,-0.358
1.137,0.044,-1.008
0.009,0.069,-0.998
0.386,0.419,-1.621
0.635,0.337,-1.384
-0.769,0.836,-1.227
0.269,0.211,-0.749
-0.556,1.171,-0.55
-1.722,0.537,-0.164
-1.252,-0.092,-0.362
0.091,0.168,1.514
0.63,-0.929,1.253
0.646,-0.28,0.389
-3.983,-0.013,1.415
-1.174,-0.171,1.577
1.257,-0.448,0.22
-0.605,0.294,-0.728
-1.046,1.073,-0.787
-0.787,1.776,-1.035
15.475,-4.159,10.227
18.533,-12.543,21.307
17.023,-9.901,19.099
2.331,30.078,29.256
-10.944,21.223,-18.669
-1.573,8.51,-10.38
-6.722,3.36,-8.417
-0.621,0.819,-2.64
-1.201,0.258,1.006
-0.227,-0.025,-0.066
-0.048,0.511,-0.581
-0.742,1.924,-0.328
-1.317,2.143,-1.515
-0.809,1.328,-1.344
0.419,1.23,0.644
0.444,0.663,-1.504
-1.733,-0.427,1.722
2.697,0.226,1.981
-1.17,-1.13,0.438
1.817,-0.453,1.903
1.434,0.016,0.618
0.521,0.557,2.246
-0.128,-0.186,-0.095
-0.105,0.455,1.349
0.731,-0.413,0.408
-1.065,0.134,0.761
-1.114,0.363,-0.36
-0.663,0.965,0.015
-0.999,0.28,-0.178
-0.474,0.867,0.092
-0.26,-0.039,0.118
-0.104,0.338,0.199
0.132,0.023,0.333
-0.127,-0.01,-0.14
0.154,0.01,-0.223
-0.069,0.461,-0.275
0.454,-0.007,-0.744
-0.345,0.378,-0.672
0.406,0.234,-0.456
0.154,0.011,-1.064
-0.544,0.557,0.022
-0.411,1.17,-0.342
-0.988,0.163,0.26
0.404,-0.412,0.118
-0.129,-0.801,-0.102
1.022,-0.577,-0.087
0.852,0.175,-0.626
-1.083,0.326,-0.134
-1.491,0.622,-0.598
-0.087,0.418,0.275
0.342,-0.333,0.55
0.686,0.582,0.062
-0.02,-0.235,-0.029
-0.792,0.858,-0.129
1.275,0.212,-0.41
-0.257,-0.418,-0.866
1.121,1.039,0.245
0.159,0.37,3.122
9.983,-21.546,12.169
23.172,0.281,33.411
-19.828,-10.944,-6.796
-2.78,3.014,33.383
0.692,24.83,-20.746
3.557,1.045,-10.416
-6.492,6.97,-2.992
-0.109,1.876,-1.195
0.929,-1.073,1.219
-0.113,1.422,-0.411
0.81,0.563,-0.316
-0.66,1.407,0.123
-0.692,2.411,-0.669
0.314,-0.453,0.725
-0.46,-1.189,1.231
3.054,0.039,0.076
0.574,-0.811,0.655
-0.025,0.167,0.815
1.581,-0.17,0.01
-1.24,-0.324,-0.251
-0.402,-0.905,-0.465
-0.689,0.498,0.722
0.805,-0.117,-0.114
-0.709,0.528,-0.146
-0.304,0.321,-0.648
-0.501,0.666,-0.293
-0.164,0.421,-0.469
-0.187,-0.109,-0.218
0.022,0.308,0.57
-0.011,-0.036,-0.684
0.438,0.206,1.201
0.207,-0.232,-0.671
0.567,0.293,0.425
-0.179,0.495,-0.352
-0.068,-0.017,0.043
0.07,0.328,-0.872
-0.206,-0.029,0.3
0.114,-0.37,-1.338
-0.097,1.009,1.252
0.578,0.434,0.051
-0.354,-0.58,0.241
0.215,-0.446,1.54
0.67,-0.511,0.252
-0.379,-0.372,0.246
0.309,-0.005,-0.005
0.247,0.097,-0.274
-0.133,0.439,-0.227
-0.367,0.35,-0.135
1.021,-0.088,-0.285
-0.915,0.425,1.077
0.304,-0.486,-0.035
0.032,-0.189,0.075
-0.562,0.504,0.039
0.55,0.227,-0.325
-0.89,0.632,-0.971
-0.053,0.854,-0.545
-0.268,0.42,-1.012
-0.119,-0.219,-0.138
0.391,-0.264,0.269
0.55,-0.621,0.009
0.29,-0.607,-0.315
1.375,-0.305,-0.199
-0.261,-0.124,-0.271
