acc_x,acc_y,acc_z
-1.746,-8.605,-0.168
-0.055,0.747,-0.004
-0.401,0.387,0.054
-0.351,0.817,0.079
-0.343,0.315,-0.031
-0.389,0.317,-0.102
-0.18,0.356,0.304
-0.007,-0.003,-0.116
0.003,-0.121,0.01
-0.267,0.212,0.101
-0.147,0.575,0.109
-0.152,0.343,0.083
-0.549,0.02,0.047
-0.281,0.158,-0.086
-0.136,0.089,-0.137
0.224,0.26,-0.078
0.138,0.401,0.019
-0.067,-0.058,0.064
-0.085,-0.099,0.129
-0.047,-0.085,-0.091
-0.382,0.117,0.142
-0.201,0.155,0.209
-0.606,0.015,-0.052
0.322,0.066,0.057
0.288,-0.086,-0.149
-0.544,0,-0.159
0.243,0.037,-0.132
-0.064,0.092,0.066
-0.084,0.045,0.04
0.076,0.077,-0.071
0.051,0.01,0.263
-0.023,0.124,0.122
0.158,0.043,0.108
-0.075,0.143,0.028
0.078,-0.016,-0.068
0.051,0.056,-0.094
0.014,-0.062,-0.196
0.06,0.108,-0.118
-0.537,0.202,-0.187
0.658,-0.204,0.571
-0.308,0.039,1.002
0.092,-0.012,0.229
0.006,-0.057,-0.542
-0.082,0.016,-0.679
0.2,0.005,1.129
0.067,-0.022,0.638
-0.081,0.029,-0.68
0.012,-0.008,-0.609
0.069,0.007,-0.143
-0.07,-0.074,-0.389
-0.017,0.085,-0.593
-0.119,0.09,-0.272
0.191,-0.036,0.577
-0.026,-0.149,1.587
-0.149,0.206,2.805
0.248,-0.014,4.285
-0.093,0.055,4.574
-0.164,-0.046,5.397
-0.133,0.061,8.618
0.228,-0.178,7.211
0.11,0.004,-1.824
0.006,0.07,-15.669
0.143,0.048,-7.012
0.027,-0.188,-4.916
-0.045,0.038,0.113
0.434,-0.178,1.194
-0.084,0.074,1.825
0.148,0.123,1.828
-0.197,-0.146,1.175
0.058,-0.148,1.411
-0.388,-0.332,0.525
-0.345,0.041,0.044
0.052,1.31,-1.086
-0.038,0.809,0.284
-1.185,-1.014,-0.356
-0.902,1.294,-0.071
-0.447,0.244,0.473
1.929,-0.91,0.009
0.08,-1.533,0.307
0.834,0.525,0.156
0.584,0.526,0.046
0.235,-0.34,0.324
-0.235,-0.465,0.337
-0.015,-0.014,1.808
-0.22,-0.191,0.673
-0.443,-0.438,1.213
-0.809,-0.219,0.627
