acc_x,acc_y,acc_z
-2.159,3.658,-2.879
-1.99,2.617,0.217
-2.304,2.171,0.689
-2.01,2.791,0.159
-0.941,2.599,0.491
-3.968,1.281,0.534
-0.569,1.165,1.588
-2.341,1.441,0.517
-2.399,1.037,0.401
-1.44,1.381,-0.196
-1.429,-0.101,-1.008
0.963,-0.619,0.569
1.35,-0.005,0.704
-0.94,-0.036,1.08
-2.163,1.375,-0.092
-0.384,1.264,-1.096
-2.431,1.193,0.303
-0.39,-0.342,0.286
-0.456,0.124,1.63
-1.019,0.603,0.096
0.468,0.027,-0.364
-0.643,1.088,0.534
-1.044,0.598,-0.305
-0.902,-0.527,0.204
-0.044,-0.05,0.891
-0.132,0.42,-0.294
-1.074,0.532,-0.379
-0.762,0.303,-0.087
0.212,-0.329,0.104
-0.649,0.404,-0.602
0.803,0.547,-0.882
-1.619,0.623,-0.051
-0.55,0.606,-0.793
-1.094,-0.966,0.665
-0.022,0.291,0.108
0.336,-0.041,0.48
-0.075,0.17,0.625
-0.248,0.145,-0.113
-0.017,-0.013,0.18
0.104,0.226,0.103
-1.043,0.511,-0.25
-0.664,1.167,-0.3
0.583,0.301,-0.506
0.131,0.299,-1.083
0.19,0.825,-2.282
-2.9,5.742,0.142
3.482,1.737,-2.57
-0.859,1.242,-0.607
0.524,1.276,0.889
0.268,0.958,1.874
0.052,0.038,2.939
-0.068,-0.978,3.954
0.859,-1.003,6.148
2.589,-0.86,6.824
5.427,-0.699,6.965
5.698,1.149,8.297
9.556,5.951,10.631
3.581,12.818,1.096
-2.3,29.369,2.52
5.193,12.828,0.489
-18.026,10.048,-11.465
-4.117,4.177,-0.368
-2.531,1.714,-1.094
-0.156,2.454,-0.646
1.601,0.747,0.019
0.256,1.031,0.644
0.776,1.072,0.584
-0.408,1.313,-0.492
0.095,1.415,0.457
-0.174,1.25,0.273
-0.353,0.524,-0.365
-0.238,1.481,0.591
0.069,0.786,0.539
-2.759,0.558,-0.277
-0.181,2.714,0.097
-0.517,0.556,0.063
-0.421,0.567,-0.352
-0.535,1.344,-0.24
-0.855,-0.072,0.285
0.1,0.761,-0.206
1.019,-0.465,-0.283
0.025,1.543,0.507
-0.043,1.16,0.517
-0.17,0.233,0.501
0.838,0.397,1.298
0.169,0.102,0.619
0.805,-0.057,0.552
-0.115,-0.088,1.562
-0.198,-0.462,0.749
1.45,0.082,0.115
0.027,0.271,0.76
1.996,-1.297,-0.883
0.403,-0.465,-0.81
-0.441,0.276,-0.851
-1.401,1.094,0.668
0.228,-0.064,0.154
-1.347,0.277,-0.93
-0.604,0.555,-0.25
-0.208,-0.036,-0.169
-0.204,0.339,-0.361
-0.635,0.065,0.075
-0.111,0.112,-0.478
-0.122,0.053,0.057
-0.315,-0.018,-0.507
-0.132,0.056,0.14
-0.448,1.134,-0.471
-1.742,1.262,-0.991
0.577,-0.54,-1.155
0.053,-1.178,-2.491
-0.029,-0.01,-2.387
-0.946,2.891,-0.245
0.76,-0.794,0.693
0.263,1.38,0.501
-0.176,0.548,-0.384
0.506,0.719,1.218
0.59,0.21,1.79
0.088,-0.131,2.652
-0.08,-0.589,3.48
0.129,-0.79,3.039
2.33,-0.442,5.887
4.417,-1.112,7.526
9.288,-0.992,10.553
11.221,3.94,12.051
3.284,9.281,6.812
6.842,30.277,-0.31
6.794,10.998,0.897
-22.171,15.191,-11.389
-8.713,4.018,-1.444
-5.454,2.28,-2.621
-0.18,2.765,-1.062
1.204,-0.238,0.434
1.43,1.02,1.311
0.794,0.602,0.024
-0.16,0.198,0.303
0.021,2.15,1.011
-0.926,2.099,-0.896
-0.305,1.147,-0.09
-0.969,2.261,-0.251
-1.212,0.767,0.326
0.565,-0.503,0.271
0.781,0.157,-0.439
-1.256,-0.186,0.496
0.591,1.381,-0.457
-0.318,0.342,0.464
