acc_x,acc_y,acc_z
-0.274,-1.826,2.684
0.002,0.084,-0.593
0.19,0.24,-0.528
-1.184,-0.011,-0.322
-0.133,0.16,0.476
0.337,-0.049,-0.788
0.235,0.019,-0.467
-0.255,-0.033,-0.08
0.374,-0.074,-0.287
-0.275,0.138,-0.299
0.3,0.232,0.068
-0.038,-0.257,-0.334
-0.045,0.066,-0.123
0.173,0.143,-0.099
-0.084,0.013,-0.322
-0.056,0.044,0.095
0.119,0.107,-0.129
0.092,-0.085,-0.264
0.063,0.023,0.239
-0.353,-0.074,-0.024
0.211,0.087,-0.14
0.049,0.026,-0.145
0.003,-0.006,-0.122
0.004,-0.021,-0.067
0.101,-0.074,0.162
-0.108,-0.028,0.032
0.053,0.204,-0.166
0.047,-0.243,-0.124
-0.111,0.102,0.152
0.037,-0.25,-0.041
-0.016,0.591,0.285
0.094,-0.182,0.024
-0.084,-0.028,-0.111
-0.074,0.046,-0.056
-0.182,-0.115,0.055
0.11,0.324,0.367
0.167,-0.116,0.077
0.174,-0.004,-0.068
-0.326,-0.297,0.036
0.51,0.224,0.221
-0.129,-0.302,-0.092
0.079,0.116,0.007
-0.055,-0.147,0.067
-0.139,-0.15,-0.115
0.259,0.146,0.092
-0.121,-0.056,-0.065
0.117,0.126,-0.061
-0.043,-0.255,-0.043
-0.109,0.121,0.368
0.108,-0.002,-0.037
-1.756,-0.184,0.533
0.56,0.227,-0.078
0.181,-0.176,-0.128
-0.334,0.065,0.323
0.198,0.008,-0.066
-0.039,0.081,0.074
-0.024,-0.063,-0.168
-0.015,0.068,0.157
-0.101,-0.066,0.044
0.043,0.087,-0.126
-0.032,0.036,-0.159
-0.096,-0.064,0.076
0.151,0.042,0.14
-0.034,-0.178,-0.046
0.15,0.143,0.015
-0.21,0.048,-0.052
0.104,0.038,-0.05
-0.157,-0.082,0.048
-0.122,0.017,0.071
0.14,0.121,0.038
0.011,-0.21,-0.111
-0.161,0.066,0.123
0.222,0.038,-0.028
-0.168,-0.271,-0.042
-0.185,-0.012,0.136
0.239,0.214,0.189
-0.003,-0.065,-0.271
0.007,0.063,-0.003
-0.237,-0.198,0
0.106,-0.069,0.298
-0.206,0.107,0.032
0.521,0.293,-0.631
-0.288,0.16,-0.161
-0.077,-0.083,0.159
-0.522,-0.136,0.496
-0.014,0.046,-0.417
0.073,0.15,-0.047
-0.207,-0.023,-0.15
-0.035,0.276,0.052
-0.01,0.286,0.071
-0.006,-0.474,0.15
-0.466,-0.556,0.381
-0.266,-0.293,0.652
-0.478,-0.449,0.779
1.585,-0.019,-0.65
-0.113,-0.485,0.534
-1.059,0.275,0.967
0.107,-1.488,1.265
1.397,0.39,-0.062
-0.234,-0.179,-0.489
0.329,-0.869,-0.727
0.745,0.994,-0.719
-0.072,-0.036,-0.627
0.308,0.543,0.462
2.396,-1.252,-1.002
-0.219,1.455,-1.122
-2.116,-0.466,-1.337
-1.224,-1.433,0.128
-0.263,-1.366,2.673
1.774,3.747,2.03
1.03,-0.329,-1.267
-1.255,-0.015,-1.053
-0.187,-0.468,0.516
0.253,0.323,0.493
0.152,-0.414,-0.006
-0.241,0.108,0.407
-0.713,0.15,-0.224
0.235,0.482,-0.931
-0.639,-0.554,0.124
0.077,0.191,0.579
-0.401,0.821,-0.494
2.388,-0.263,4.833
3.212,2.995,5.328
8.819,-5.132,13.607
5.004,4.642,2.01
4.024,-4.501,-4.843
-5.583,18.676,13.529
-23.35,10.06,-17.458
2.672,1.078,-1.351
-5.434,3.259,-3.155
0.393,-1.346,-0.66
1.934,-1.201,0.978
0.723,-0.846,0.532
1.017,-0.329,1.127
0.858,-0.851,-0.338
-0.64,-0.022,0.217
-0.385,0.599,-0.619
-0.66,0.114,-0.111
-0.328,0.84,-0.114
-0.113,-0.22,-0.38
-0.308,0.18,-0.442
-0.545,0.896,-0.654
-0.919,-0.636,-0.254
-0.748,0.996,-0.065
0.891,-0.035,-0.888
-0.195,-1.103,0.3
1.108,1.003,0.622
0.41,-1.012,0.53
0.06,0.4,1.474
-0.209,-0.881,0.772
0.862,0.929,1.157
-0.637,-0.896,1.691
0.985,-0.129,1.623
-0.134,-0.279,2.529
1.166,-1.043,0.236
-0.815,-1.064,0.362
1.13,-1.254,1.501
4.338,-0.694,-2.911
-0.171,0.224,0.123
-1.352,-0.178,0.022
0.524,0.219,-0.546
-1.528,0.807,-0.97
-0.178,0.441,-1.096
-0.535,-0.014,-0.034
-0.089,0.26,-0.372
-0.034,0.444,-0.368
-0.795,-0.116,-0.405
-0.12,-0.122,-0.049
-0.068,0.023,-0.022
-0.221,0.136,-0.311
-0.647,-0.14,-0.43
0.642,0.608,3.465
2.906,0.961,0.423
5.126,0.513,6.396
7.735,-2.509,11.146
-2.983,-3.319,-0.078
0.46,25.544,0.061
5.111,11.127,4.885
-14.063,7.409,-14.242
-0.458,0.762,-1.222
-3.582,0.375,-0.928
-0.354,-0.988,-0.162
1.359,-1.046,0.128
-0.235,-1.29,-0.559
0.186,-0.9,0.19
1.325,-1.01,0.368
0.011,-1.311,-0.278
0.519,-0.549,-0.298
-0.142,-0.383,-0.515
0.118,0.01,-0.158
-0.331,0.197,-0.048
-0.899,0.336,-0.442
-0.123,-0.259,0.115
-0.608,0.65,-1.295
-1.138,-0.129,-0.082
-0.562,0.882,-0.549
0.976,-0.48,-0.223
-0.615,-1.119,0.564
1.858,-0.482,0.287
0.558,-0.459,0.448
-0.202,-0.776,0.547
-0.683,-0.058,1.161
1.141,0.255,1.342
0.711,-0.3,1.31
0.197,-0.416,1.66
1.076,-0.271,0.488
-0.507,-0.665,1.748
0.481,0.099,0.715
-0.689,-0.71,0.343
2.604,-1.349,-0.317
-0.565,0.797,0.284
-0.455,0.024,-0.228
-0.929,0.146,0.02
1.446,0.353,-0.473
-1.837,-0.567,0.671
0.169,-0.072,-0.284
1.521,1.287,-0.833
0.219,0.176,-1.475
-0.727,0.97,-1.335
-0.712,0.133,-0.015
-0.713,-0.023,0.54
-0.133,0.045,0.033
-0.534,-0.219,-0.346
0.207,0.28,-0.143
-0.306,-0.014,-0.107
0.003,0.049,0.09
-0.133,0.156,-0.217
-0.18,0.049,-0.119
0.08,0.044,-0.055
-0.06,0.252,-0.306
-0.333,-0.04,0.081
-0.493,-0.14,-0.229
0.195,-0.091,0.005
0.066,0.209,-0.096
0.007,-0.135,0.102
0.052,0.042,0.239
-0.283,0.022,-0.131
0.047,0.109,-0.025
-0.127,-0.115,-0.085
-0.096,0.178,0.12
0.035,-0.013,0.048
-0.023,0.325,-0.646
-0.453,-0.452,0.188
0.201,1.57,0.033
3.578,0.08,3.514
6.534,-2.447,8.235
8.569,-0.112,8.901
-5.072,-6.963,0.868
-2.689,26.093,0.57
3.96,9.037,2.572
-12.823,7.188,-11.175
-2.332,1.888,-1.993
-6.539,-0.075,-2.827
-0.842,-0.587,-0.856
-0.826,-0.992,-0.758
0.945,-0.293,0.081
1.021,-1.822,0.474
0.932,-0.912,0.434
0.585,-1.258,-0.118
0.481,-0.147,0.331
0.609,-0.607,0.302
-0.122,-0.637,0.141
-0.248,0.327,0.16
-0.374,-0.23,-0.511
-0.419,0.273,-0.187
-0.922,-0.035,-0.47
0.415,0.947,0.179
0.143,0.975,-1.268
0.004,-0.274,-0.058
-1.03,0.58,0.135
0.017,-0.285,-0.692
-0.07,-0.358,0.601
-0.373,0.008,-0.349
0.853,0.495,-0.721
0.492,-0.124,0.758
0.896,-0.29,0.489
1.203,-0.35,0.871
0.119,-0.204,0.608
1.395,-0.453,0.521
0.821,-0.398,1.863
0.442,-1.148,0.957
2.01,0.743,1.331
-1,-1.141,0.875
1.666,-0.762,0.672
-0.569,-0.789,1.015
4.921,0.139,0.279
-1.966,-1.613,1.15
-0.075,-0.037,-0.583
-0.713,0.417,-0.143
0.284,-0.15,-1.137
1.56,-0.431,-0.864
1.025,0.105,-1.019
-2.212,2.011,-0.429
0.696,1.341,-0.873
-0.939,0.451,0.335
-0.505,-0.159,0.405
0.229,-0.159,0.334
0.094,-0.013,-0.48
-0.336,0.303,-0.553
-0.013,-0.063,-0.214
-0.429,-0.094,0.096
0.286,-0.004,0.098
-0.241,0.034,-0.214
0.356,0.104,-0.392
-0.628,-0.142,0.018
0.145,0.09,0.067
0.285,0.037,-0.45
-0.39,0.054,0.106
0.042,-0.088,-0.081
-0.021,0.078,-0.083
-0.189,0.017,-0.255
-0.383,-0.035,0.068
-1.38,-0.198,-0.009
2.228,1.331,2.675
6.09,-1.836,2.614
7.012,3.422,6.578
7.182,0.511,9.913
-3.558,-6.682,-1.919
-9.433,24.658,-1.15
11.166,8.063,4.094
-13.231,6.446,-9.462
-5.457,1.634,-2.025
-3.638,0.356,-0.468
-0.468,-0.739,-1.53
0.469,-1.073,0.288
0.847,-0.287,-0.009
0.777,-1.33,0.129
0.391,-0.3,0.257
0.051,-0.752,-0.292
0.179,-0.109,-0.142
0.397,-0.349,-0.134
-0.112,0.152,0.19
-0.082,-0.145,-0.252
-0.278,0.271,-0.114
-0.023,0.012,-0.045
-0.713,0.288,-0.044
-0.674,0.39,-0.266
-1.955,0.149,-0.112
0.058,-0.154,-0.738
-0.643,0.951,-0.097
0.184,-0.735,-0.1
-0.723,-0.525,0.268
0.811,0.094,-0.505
-0.27,-0.1,0.345
0.819,-0.669,0.931
0.197,-0.544,0.093
1.192,0.236,0.221
0.382,-0.724,0.458
0.572,-0.533,0.525
1.676,0.008,0.791
-0.632,-0.522,0.382
1.773,0.619,0.625
-0.779,-0.344,0.938
1.255,0,1.16
-0.019,-1.124,0.869
1.432,-0.394,1.588
-0.291,-0.928,0.64
1.613,-0.27,1.002
0.101,-0.213,0.329
0.698,0.039,-0.574
0.681,0.068,-0.591
1.401,-1.295,-0.096
-0.863,0.214,0.291
-2.944,0.822,-0.167
2.993,1.115,-1.934
-2.335,0.666,-0.238
0.326,0.02,-0.108
0.058,-0.565,-0.818
-1.033,0.417,0.181
0.355,-0.185,-0.164
0.046,0.015,0.185
0.167,0.054,-0.305
-0.223,0.037,-0.03
0.024,0.131,-0.293
-0.018,0.006,-0.198
-0.691,-0.082,-0.048
-0.054,0.141,0.009
-0.144,-0.101,-0.316
-0.394,0.093,0.015
-0.838,-0.375,0.623
1.663,0.584,-0.89
0.148,0.444,-0.437
1.476,0.964,1.854
1.355,3.483,2.495
8.257,-6.337,8.294
5.493,2.542,6.018
3.498,-10.406,3.145
-17.083,21.17,3.727
-5.548,9.319,-5.374
-6.583,6.103,-7.109
-2.01,-1.16,-1.674
-3.018,1.048,-1.261
1.125,-0.47,-0.443
0.393,-0.695,0.77
0.411,-0.365,0.006
0.228,-0.58,-0.152
0.494,-0.194,0.186
-0.18,-0.179,-0.048
0.499,0.05,-0.093
0.304,-0.155,0.076
-0.613,0.059,-0.213
-0.488,-0.164,-0.322
-0.169,0.005,-0.176
-0.108,-0.138,-0.049
0.068,-0.078,0.271
0.017,-0.356,-0.2
-0.37,0.278,-0.106
-0.19,0.131,-0.477
-0.517,0.389,-0.08
-0.371,0.272,-0.173
-0.855,0.137,-0.786
0.162,-0.105,-0.263
-0.978,-0.32,0.674
-0.169,1.001,-0.587
0.266,-0.355,-0.032
-0.185,-0.024,0.917
0.41,0.165,-0.727
-0.038,-0.52,0.709
1.491,0.633,0.697
0.786,-1.08,0.781
1.016,0.165,1.597
0.839,-1.232,0.251
1.318,0.363,1.763
0.448,-0.85,0.519
1.481,-0.076,1.617
0.616,-1.2,0.857
1.361,-0.061,0.43
-0.475,0.054,-0.529
-0.785,-0.021,-0.868
1.332,-0.203,-0.464
0.955,-0.731,0.042
-0.322,0.182,-0.524
-0.884,0.88,-0.519
-1.22,0.751,-2.284
-0.262,-0.062,0.213
-0.376,-0.145,0.276
0.222,0.036,-0.204
-0.194,-0.139,-0.138
-0.102,-0.256,0.283
-0.295,0.189,-0.497
0.366,0.38,-0.374
-0.842,-0.09,-0.447
-0.149,0.045,-0.37
0.073,0.079,-0.046
-0.49,-0.002,-0.521
-0.128,0.109,-0.019
0.211,-0.232,0.094
-0.16,-0.013,0.089
0.12,0.199,-0.315
-0.341,0.007,-0.072
0.207,0.135,-0.064
-0.193,-0.142,-0.308
-0.278,-0.153,0.203
0.05,-0.127,-0.048
-0.131,0.153,-0.051
0.031,-0.036,-0.247
-0.453,-0.107,0.061
-0.965,1.224,-1.793
0.284,0.534,-0.505
5.961,0.167,0.867
7.21,-1.154,4.927
7.76,-0.217,9.219
-1.036,1.357,6.657
8.144,-1.28,0.43
-2.007,13.792,6.754
-9.002,7.766,-3.408
-7.263,5.517,-7.484
-4.228,0.122,0.503
0.215,-0.875,-2.701
-0.808,-1.021,0.133
0.439,-0.207,0.164
0.859,-0.422,-0.262
0.816,-0.661,0.277
1.469,-0.567,0.056
-0.003,-0.297,0.242
0.839,-0.4,-0.035
-0.622,-0.76,0.122
-0.059,0.228,0.108
