acc_x,acc_y,acc_z
0.657,0.09,0.296
-0.1,0.03,-0.404
0.018,0.046,0.357
0.252,0.16,-0.191
0,-0.092,-0.344
0.012,0.067,-0.157
-0.021,0.05,-0.129
-0.056,0.072,-0.07
0.033,0.153,0.075
-0.034,-0.018,0.044
0.004,0.044,0.069
-0.029,-0.029,0.068
-0.078,0.005,0.017
-0.119,-0.037,0.123
-0.045,0.061,-0.027
0.01,0.021,0.05
0.006,-0.077,0.046
0.101,0.056,0.026
0.055,0.03,-0.055
-0.009,0.037,-0.081
0.1,-0.018,0.003
0.001,-0.169,0.061
-0.106,-0.18,0.044
-0.22,-0.169,0.074
-0.598,-0.105,0.605
-7.699,2.91,2.96
6.283,2.537,-3.981
-0.691,-0.074,-0.586
-1.146,-0.108,-0.584
11.053,-6.152,-4.882
-6.064,9.26,-2.181
3.827,-3.442,0.096
1.271,0.684,0.018
11.477,2.597,-5.003
-3.301,2.155,-1.731
1.195,4.848,-1.159
-0.584,3.392,0.935
0.021,2.315,1.808
0.304,0.068,1.781
-0.938,1.66,3.22
-7.905,-1.279,5.05
-0.728,-7.624,6.303
1.028,5.192,5.928
-9.809,-0.431,5.599
-7.055,0.613,6.222
-8.93,5.549,6.361
-4.546,7.933,8.398
-1.686,4.333,4.114
-5.056,2.702,8.08
-4.075,-0.743,2.851
-4.355,0.103,0.781
1.894,1.474,-3.108
-3.374,5.861,-1.837
-1.904,0.429,3.135
-1.733,2.269,-1.345
-0.557,-1.663,1.978
-0.747,-0.123,0.129
-0.006,0.872,0.001
-0.618,-0.466,0.712
-0.498,-0.887,0.351
-0.233,0.177,-0.881
-0.119,0.756,-1.109
-1.564,1.729,-0.634
-1.777,2.607,0.097
-0.762,0.318,-0.017
1.046,-0.066,-0.101
0.049,-0.301,0.232
0.641,-0.128,0.177
-0.168,0.392,0.21
-0.728,-0.17,-0.246
0.96,-0.947,-0.33
0.642,-0.469,-0.683
0.874,-0.578,0.086
0.485,0.144,-0.901
1.24,1.543,-0.669
3.401,-1.167,-0.247
-1.87,-0.159,0.358
3.612,2.411,-2.483
-0.673,2.685,-1.55
-10.626,8.804,-2.817
6.638,-2.218,-0.948
-2.812,2.037,-2.862
3.399,2.711,-1.933
-1.048,4.488,-0.947
-0.648,3.58,0.855
-2.527,3.858,1.371
-4.919,8.053,4.275
-10.912,4.115,5.537
-5.319,-0.844,5.303
-1.806,-5.459,1.027
-13.216,7.003,1.939
-5.013,2.446,5.137
-7.093,2.809,5.986
-9.056,9.786,5.986
-11.565,23.119,23.51
-14.041,33.681,23.728
-77.32,33.203,52.815
-10.07,55.387,-3.012
1.929,30.182,-27.373
1.962,33.191,-25.642
1.812,2.215,-15.38
-2.883,7.433,-9.342
-3.042,11.904,-7.743
-5.306,13.741,-1.544
-1.865,13.724,6.416
-5.1,10.456,7.729
-0.038,6.404,6.934
-2.957,3.37,5.546
-2.649,-0.658,1.568
-2.921,-0.587,0.824
-2.91,0.297,0.229
-1.937,1.175,-0.467
-1.367,1.936,-1.024
-0.965,1.712,-1.444
-0.907,1.441,-1.98
-0.224,1.24,-2.705
-0.365,0.872,-2.742
-0.12,0.212,-2.441
-0.425,-0.062,-1.774
-0.844,0.013,-1.382
-0.613,1.105,-1.028
-0.444,0.259,-0.308
-0.176,-0.961,-0.47
-0.07,-0.129,-0.212
0.158,-0.132,-0.381
0.475,0.285,-0.051
1.815,-0.643,-0.749
6.4,-3.292,-1.112
1.164,0.559,-0.717
0.302,-0.36,-0.888
-0.249,-0.51,-0.219
0.039,0.476,0.751
-0.059,0.158,0.512
0.094,-0.102,-0.001
-0.679,0.067,-0.041
-0.409,0.445,0.224
-0.654,0.361,0.16
0.088,-0.416,-0.203
0.253,0.404,-0.075
-0.386,0.282,-0.273
-0.414,-0.007,-0.348
-0.44,0.133,-0.23
-0.525,0.355,0.116
-0.801,0.079,0.284
-0.323,-0.048,0.231
-0.283,-0.136,0.105
-0.07,0.022,-0.013
-0.807,0.106,0.113
-0.256,0.137,-0.592
-0.193,-0.037,-0.717
0.239,0.119,-0.05
-0.213,0.677,-0.77
-1.665,1.608,-0.65
-0.494,-0.872,-0.348
-0.925,-0.145,0.567
-1.85,-0.493,0.929
-0.714,1.545,0.691
-1.517,0.823,1.16
1.596,-0.658,0.075
2.213,-1.302,-1.192
0.89,0.257,-0.841
0.191,1.315,-1.189
0.059,1.097,-0.423
-0.231,0.866,-0.545
-0.803,1.7,-0.892
-0.815,-0.825,0.914
1.29,-2.127,-0.066
-1.443,-0.641,1.179
0.247,-1.688,0.087
-0.138,-0.284,-0.561
-0.269,0.736,-0.29
-0.727,0.64,-0.259
-0.269,-0.158,0.186
0.426,0.311,-0.204
-0.922,1.527,0.101
0.924,-1.498,-0.182
0.678,-0.667,-0.69
2.297,1.003,-1.876
0.991,1.419,-2.372
-2.17,2.515,-1.706
-6.809,1.392,-3.403
8.968,5.289,-3.541
-2.217,3.189,-1.64
-0.252,3.176,-1.612
-0.501,4.578,-0.402
-2.092,4.942,0.178
-1.508,5.388,1.08
-2.482,3.488,1.775
-2.562,3.025,2.44
-5.675,5.501,2.564
-7.958,3.312,5.245
-7.99,-2.429,5.306
-4.235,0.849,8.082
-12.277,3.341,30.998
-3.746,2.109,25.726
-5.187,4.177,67.63
-7.947,8.68,-2.756
-9.385,12.552,-26.792
-6.847,12.995,-21.365
-77.366,31.795,-14.34
-12.01,58.348,-6.335
7.585,34.886,-5.373
-2.082,6.213,-5.392
1.8,1.841,5.641
-2.232,6.413,7.902
-1.83,11.236,9.563
-4.343,11.971,8.12
-8.807,17.274,4.236
-3.732,11.548,1.385
-1.039,5.344,-0.241
0.316,2.453,-0.827
0.445,-0.198,-1.985
-2.472,0.382,-2.339
-2.613,-0.413,-3.813
-2.894,0.37,-0.593
0.524,0.196,-0.213
2.66,-3.447,-1.78
-1.447,4.293,-0.294
1.374,-1.053,-0.666
-2.617,3.228,-1.749
-3.387,2.595,-1.401
-0.814,0.033,-2.395
2.42,2.237,-0.476
-1.781,2.975,-2.792
1.906,-1.198,-1.312
2.879,-3.709,0.668
2.98,-0.622,3.158
-1.993,0.274,2.814
3.564,-0.214,1.324
0.192,-1.139,-0.245
-3.272,2.007,-1.606
-3.034,0.967,-2.708
-1.276,0.618,-4.261
-0.693,-0.381,-0.628
-1.529,-0.82,-0.004
-0.306,1.972,-0.081
2.026,1.953,0.69
-1.533,1.237,-0.067
-0.005,0.792,-0.003
-0.171,0.246,1.522
-0.793,1.623,-0.721
-1.503,0.539,0.442
-0.613,-0.009,1.211
0.174,-2.035,0.429
3.301,-1.888,0.567
0.616,-1.012,-0.073
0.3,-0.4,0.595
0.297,-0.531,-0.226
1.127,-0.241,-0.043
0.077,-0.267,-0.071
-0.465,0.103,0.056
-0.41,0.371,0.507
-0.344,0.461,0.362
-0.317,0.481,-0.071
0.164,-0.032,-0.153
-0.019,0.329,-0.046
0.026,0.457,-0.103
0.28,-0.265,1.006
0.211,-0.716,0.274
0.194,-0.42,-0.194
-0.419,-0.34,0.161
-2.64,2.347,-0.022
-0.659,0.197,0.508
-0.261,-0.205,-2.204
-0.251,-0.127,-2.501
0.032,0.094,-3.702
0.12,1.313,-1.19
1.501,-3.641,-7.628
1.664,1.184,-3.86
3.666,2.89,-1.741
-2.626,2.133,0.456
3.457,-5.526,1.782
1.805,4.502,1.677
-0.274,4.637,6.215
-2.866,5.617,4.101
-3.625,6.846,4.959
-3.175,7.937,5.072
-8.148,1.923,5.649
-0.978,-3.84,5.179
-10.733,4.55,24.373
-4.974,1.982,29.397
-6.194,5.803,-16.73
-7.093,10.111,25.043
-5.037,10.261,-16.323
-21.89,7.337,-25.677
-51.282,61.106,-58.135
-16.141,46.465,-20.166
9.601,46.015,-7.857
-12.218,11.439,12.431
5.208,1.46,8.007
1.916,5.728,3.963
-3.4,12.132,7.554
-3.297,13.243,5.572
-5.311,7.205,4.454
-0.941,5.883,2.557
1.786,5.3,2.677
-0.935,5.013,2.641
-0.076,1.669,0.149
-0.35,-0.23,0.462
-0.806,-0.875,-0.154
-0.657,-1.439,-0.733
-2.123,-1.215,-0.188
-1.328,-0.612,0.118
-1.07,1.033,-0.179
-1.23,1.074,-0.413
-1.388,0.892,0.265
-1.594,0.556,-0.062
-1.531,0.066,-0.201
-1.243,-0.159,0.09
-0.95,-0.122,0.143
-0.271,0.102,0.272
-0.343,0.359,-1.011
-0.7,0.287,-0.803
-0.31,0.649,-1.686
-1.61,1.221,-1.315
-1.244,-0.063,0.054
-1.006,-0.328,-1.026
2.346,-1.077,-0.008
2.284,2.107,-0.27
-0.359,-0.943,-1.001
1.321,0.023,-0.075
0.877,0.019,0.518
-0.455,-0.314,0.059
-1.131,-0.109,0.197
-0.545,0.494,0.635
-0.992,0.607,0.341
-0.28,0.28,0.929
-0.175,0.46,1.142
-0.584,0.223,1.522
-0.88,0.097,0.289
-0.615,-0.057,0.069
-0.76,-0.286,-0.114
-0.842,0.056,0.591
-1.268,0.691,-1.658
1.744,-0.048,-2.144
0.434,1.044,-2.195
-0.18,1.79,0.98
0.631,1.528,0.426
0.125,0.531,0.523
0.83,-1.398,2.568
-0.857,-0.108,1.151
-0.145,-0.374,0.404
-0.389,0.472,-0.353
-0.198,-1.175,-0.156
1.733,-1.331,-2.262
-0.804,-1.426,-0.45
-0.387,0.643,1.357
0.614,1.321,-0.979
1.29,-2.048,0.324
-1.3,2.6,1.352
-1.704,3.399,0.209
-2.097,2.413,0.232
-1.175,-0.718,0.211
1.149,-1.775,-0.781
-0.929,-0.514,-1.203
0.028,0.054,-0.891
-0.146,-0.035,-3.288
0.714,0.617,-2.678
2.14,0.642,-1.885
0.482,0.441,-2.678
3.657,-0.026,-1.954
3.617,1.45,-0.11
-5.996,3.796,0.911
-23.235,2.478,1.93
-2.64,4.954,3.466
-3.083,5.166,6.287
-1.594,5.832,6.114
-2.466,4.747,-1.016
-4.898,8.46,4.027
-13.144,6.528,8.721
-10.822,1.131,10.53
18.138,-21.575,24.844
-13.731,6.184,26.159
-5.041,-1.764,-48.14
-12.842,5.173,-4.827
-15.261,16.306,-50.047
-10.576,23.831,-19.996
-14.801,44.577,-15.005
-13.341,36.475,-9.554
-5.003,31.137,-7.144
-2.73,0.798,4.227
-0.76,3.853,9.481
-5.355,5.007,8.952
-3.285,7.641,6.093
-6.652,13.484,6.807
-4.066,6.053,3.828
-1.794,4.65,2.675
-1.297,-0.515,2.147
-4.223,-1.493,0.884
-3.379,-1.958,0.771
-3.943,-1.468,-0.487
-4.558,0.303,-0.919
-3.573,0.228,-0.879
-3.496,1.43,-1.657
-1.889,0.982,-2.082
-3.728,1.521,-2.292
-1.77,-0.821,-1.733
-0.25,2.195,-0.597
-0.326,1.711,-0.576
-0.189,1.574,-0.263
1.003,0.545,0.278
0.401,0.504,0.889
1.385,0.343,0.734
-0.346,1.208,0.498
-0.292,-0.185,-0.282
-0.767,-0.517,-1.853
0.008,-0.204,-0.475
-2.253,1.334,0.489
0.355,0.283,1.575
1.39,0.739,1.028
0.933,1.61,-0.276
3.861,1.292,-0.512
-0.757,0.028,-0.432
-1.075,0.524,-0.878
-1.28,0.233,-0.439
-1.699,0.71,-0.396
-1.818,0.046,-0.062
-0.136,-0.016,0.061
-1.783,-0.527,-0.356
-0.128,-0.563,-0.132
-0.275,-0.462,-0.397
0.175,-0.024,0.181
0.101,-0.631,-0.001
-0.501,-0.238,0.109
0.562,-0.491,0.333
-0.744,-0.974,0.088
0.261,-0.43,0.025
-0.401,-0.185,0.022
0.714,-0.085,-0.157
-0.023,-0.357,-0.049
0.096,-0.113,0.84
0.238,-0.266,
-0.158,-0.399,
-0.252,-0.163,
-0.171,-0.592,
