acc_x,acc_y,acc_z
2.762,-4.23,3.271
-0.253,-0.024,-0.394
-0.144,0.333,-0.593
-0.138,0.234,-0.463
-0.312,0.084,-0.501
-0.101,0.06,-0.205
-0.281,0.251,-0.487
-0.031,-0.044,-0.219
-0.027,0.09,-0.554
0.416,0.185,-0.342
-0.307,-0.014,-0.124
0.07,0.112,-0.312
0.075,0.037,-0.127
-0.191,-0.006,-0.14
0.269,-0.075,-0.286
-0.195,-0.72,-0.026
0.689,-0.412,0.166
-0.461,-0.601,0.43
-0.785,0.09,0.898
-0.923,0.353,0.448
-0.819,0.028,0.477
0.478,-0.451,-0.801
0.174,0.354,-0.666
1.289,0.314,0.746
1.375,0.464,0.034
-1.563,0.177,-1.231
0.662,0.405,-1.237
0.189,0.059,-0.432
-0.089,0.371,-0.122
0.356,0.396,-0.205
-0.136,0.662,0.128
0.083,-0.124,0.198
-0.079,-0.758,0.079
0.245,-0.605,0.082
0.941,-0.27,0.028
0.085,0.059,0.058
0.314,0.021,-0.355
0.205,0.136,-0.223
0.717,0.209,-0.519
0.069,0.038,-0.204
0.179,-0.037,-0.051
-0.037,0.536,-0.415
-0.487,1.064,-1.114
-0.645,0.126,-1.024
0.375,-1.428,1.479
0.675,-0.985,0.555
-0.593,-0.162,0.49
-0.344,0.115,0.458
-0.736,-0.078,0.383
-0.686,-0.025,0.492
-0.375,-0.074,0.467
-0.196,-0.031,0.251
-0.426,0.173,0.166
-0.251,0.454,0.706
-0.283,-0.268,0.448
0.177,-0.489,0.274
0.494,0.027,-0.41
0.419,0.273,-0.494
-0.894,0.63,0.022
-0.378,0.118,0.157
0.872,-0.113,-0.052
-0.492,0.196,0.18
-0.084,0.117,-0.435
0.27,0.093,-0.137
-0.03,-0.082,-0.073
-0.008,-0.072,0.005
-0.055,-0.119,-0.15
-0.227,-0.051,-0.006
0.043,0.067,-0.054
0.092,0.021,-0.139
0.089,0.041,-0.03
-0.022,-0.014,-0.125
0.009,-0.004,-0.03
0.004,-0.042,0.031
0.028,-0.017,-0.072
0.018,-0.072,0.004
-0.029,-0.028,-0.065
-0.002,-0.009,-0.072
-0.043,0.029,-0.037
-0.05,-0.013,-0.047
0.05,0.006,-0.099
-0.083,-0.053,-0.081
0.011,-0.063,-0.054
0.079,0.061,-0.004
0.028,0.011,-0.008
0.079,-0.008,0.033
-0.09,-0.021,0.028
0.051,-0.052,-0.06
-0.066,-0.034,-0.006
0.06,-0.012,0.057
