acc_x,acc_y,acc_z
-0.153,-0.737,2.117
-0.363,1.008,0.006
-0.624,0.366,0.484
-1.525,0.144,0.347
-0.218,0.516,0.495
-0.407,0.774,1.511
-0.014,0.286,-1.48
-2.272,0.919,-0.013
-1.177,1.165,1.027
0.533,-2.216,0.965
0.058,-3.074,0.294
0.32,0.184,0.314
-0.55,2.284,0.049
-1.707,0.944,-1.804
-1.072,1.277,-2.79
0.697,0.012,1.876
-1.387,-0.206,1.403
-0.633,-0.506,1.138
0.711,-0.17,0.684
0.775,0.3,-0.575
0.154,-0.51,-0.964
-1.033,0.679,1.079
0.212,0.168,0
-0.623,0.172,0.133
-0.475,0.079,0.283
0.208,-0.032,-0.03
-0.557,0.383,-0.024
-0.349,0.162,0.061
-0.006,-0.12,0.339
-0.043,0.06,-0.067
0.046,0.064,-0.272
-0.128,0.037,-0.141
0.093,-0.108,0.246
-0.082,0.073,0.022
-0.033,-0.229,0.04
0.111,0.2,0.017
-0.032,0.133,-0.096
-0.437,-0.057,-0.179
-0.106,0.048,0.195
-0.109,-0.343,0.266
0.125,0.095,0.316
-0.183,0.016,-0.051
0.148,0.855,-0.826
-1.353,0.902,-0.086
1.017,-0.814,0.202
1.857,-2.878,-2.653
-0.153,-1.176,-2.667
2.185,2.225,-3.967
-5.534,5.963,0.686
4.496,-2.109,1.102
-3.221,1.902,-0.673
0.298,0.857,-0.832
0.728,1.894,0.441
-0.913,1.512,1.237
-0.805,0.612,1.343
-0.145,0.193,1.681
-1.251,-0.392,2.721
-1.225,-1.021,3.353
-2.259,-2.472,3.394
-1.476,-1,7.935
-2.554,3.237,7.51
7.767,5.144,15.408
10.401,2.8,16.445
9.331,13.575,11.925
-28.66,32.505,-0.893
-27.681,22.148,6.744
-20.529,10.904,-19.588
-6.899,1.531,-7.365
-4.219,4.381,-3.275
0.077,1.147,-0.668
0.832,0.619,-0.03
-0.701,1.321,0.72
0.006,0.371,0.013
0.247,-0.402,0.602
0.225,0.954,0.997
-0.699,0.102,0.023
0.619,0.302,0.296
-0.529,0.561,0.177
0.118,0.33,0.232
-0.726,0.793,-0.07
-0.515,0.682,-0.531
-0.629,1.342,-0.51
0.405,1.229,0.176
-0.758,0.014,-0.266
-0.78,2.06,-0.242
-0.824,-1.421,0.198
1.405,0.381,-0.326
-0.206,-0.358,-0.317
0.473,-0.098,0.36
0.668,-1.313,0.533
-0.396,0.011,-0.143
-0.482,1.142,0.246
0.259,0.284,-0.027
0.621,1.447,1.6
-0.64,-0.629,-0.243
1.298,0.372,1.536
-0.192,0.182,0.716
0.903,-0.041,1.725
-0.018,-0.098,-0.193
0.542,-0.276,1.289
0.54,0.351,0.574
-0.658,0.201,0.899
0.743,-0.898,0.497
0.152,-0.533,0.497
1.037,-0.45,-0.308
0.264,-0.655,0.223
0.417,-0.209,-0.623
-1.619,1.396,-0.448
-0.965,0.417,-0.387
0.148,-0.267,-0.408
-0.631,0.836,0.082
0.078,0.072,-0.744
-1.246,0.686,-0.193
0.211,-0.273,-0.788
-0.028,0.445,0.453
-0.237,-0.237,-0.489
-0.12,-0.183,0.289
0.801,0.282,-0.367
-0.436,0.088,0.341
0.433,-0.07,-0.165
0.201,-0.156,0.366
-0.311,-0.113,0.046
0.226,0.175,-0.596
-2.586,2.006,-1.461
-0.116,-1.295,0.121
1.054,-0.024,0.173
2.585,-0.962,-1.103
-0.149,-1.102,-1.24
