acc_x,acc_y,acc_z
0.015,0.168,1.903
-0.272,0.804,-0.304
-0.004,0.368,0.041
0.176,0.024,0.049
-0.206,0.005,0.043
1.759,0.34,-2.298
-1.391,0.112,-0.411
-0.705,-0.025,-0.177
-0.119,-0.355,0.367
-0.734,-1.737,-0.029
2.717,-0.93,0.66
0.365,0.973,1.336
-3.796,1.369,0.511
1.803,0.46,-1.585
-1.653,0.448,0.197
0.462,0.183,0.129
-0.292,0.427,-0.58
-0.494,-0.122,0.092
-0.063,-0.076,0.265
-0.672,-0.258,0.127
-0.304,0.328,0.135
0.1,-0.031,-0.186
-0.018,0.298,0.033
-0.059,-0.107,0.097
-0.435,-0.026,0.081
0.097,0.115,-0.106
-0.254,-0.164,0.108
-0.641,0.137,-0.078
2.104,1.321,2.683
6.49,0.222,3.768
14.325,-9.254,14.514
0.536,7.786,1.723
9.039,4.804,0.759
8.844,12.577,9.756
-15.628,11.837,-17.449
-1.243,-2.311,-3.156
-4.28,4.056,-2.684
1.146,-1.354,-2.168
0.628,-0.819,0.334
-1.035,-0.295,0.035
1.752,-0.252,1.029
-0.806,0.448,-0.099
-0.395,-0.187,0.053
-0.749,0.169,0.255
-0.081,0.352,-0.231
-0.873,0.485,0.802
-0.268,-1.164,-0.508
-0.413,1.071,0.486
-0.822,0.343,-0.715
-0.237,0.495,-0.185
-0.438,0.182,0.046
-0.201,-0.027,-0.748
0.253,-0.372,0.021
0.477,0.243,0.833
0.921,-0.197,0.43
0.422,0.157,0.73
-0.086,0.321,1.153
-0.177,-0.062,-0.14
1.106,0.874,1.36
-0.862,-0.355,0.463
0.818,-0.198,0.723
-0.15,-0.189,1.042
-0.239,0.073,0.743
0.557,-0.375,0.849
-1.433,1.633,1.494
1.055,0.033,1.015
-0.46,0.107,-0.3
0.711,-0.64,-0.632
-0.157,-0.35,-0.26
2.272,1.346,0.475
-3.298,1.772,-1.457
2.709,0.219,-2.834
-2.114,0.482,-0.094
-1.004,0.064,-0.456
0.002,-0.109,-0.025
-0.34,-0.321,-0.101
0.034,0.208,0.355
-0.059,-0.105,-0.213
-0.165,0.457,-0.378
-0.688,-0.17,0.035
-1.621,-0.035,-0.007
4.16,2.041,4.769
9.786,1.653,8.152
8.471,-6.833,14.877
0.565,-4.282,1.195
-1.513,26.39,-6.022
15.328,10.523,7.763
-11.742,7.182,-13.357
-3.441,2.627,-1.494
-3.499,0.026,-3.18
0.954,-0.554,0.044
-0.145,-0.569,-0.233
0.6,-0.55,0.828
-0.662,-0.202,0.16
0.253,-0.171,0.486
0.31,-1.141,-0.109
-0.454,-0.324,0.392
0.295,-0.266,0.394
-0.982,0.062,-0.074
0.081,0.009,-0.286
-0.774,0.016,0.155
-0.202,0.124,-0.513
0.205,0.598,0.333
-0.899,0.477,-0.256
0.114,0.521,-0.41
-1.432,-0.059,0.265
0.776,1.409,-0.63
-0.887,-0.38,0.655
-0.084,0.463,-0.097
0.842,0.04,-0.202
-0.988,-0.486,1.383
0.965,0.282,0.421
0.101,-0.7,0.377
0.205,0.988,1.095
0.037,-0.8,1.089
0.806,0.551,0.478
-0.855,-0.541,1.439
2.642,0.611,1.173
-1.539,-0.938,0.788
1.471,0.563,0.311
-0.708,-0.443,-0.141
0.55,-0.467,0.476
3.97,-0.831,0.956
-1.931,0.178,-0.143
-0.043,0.325,-0.488
-0.531,0.055,-0.36
-0.432,0.705,-0.241
-0.302,0.251,-0.842
-0.41,0.19,0.215
0.25,0.125,-0.533
-0.641,-0.023,-0.286
-0.259,0.024,-0.181
-0.399,0.195,-0.475
-0.404,0.271,-0.148
-0.25,0.017,-0.562
-0.267,-0.099,-0.074
-0.068,-0.105,0.179
-0.076,0.001,-0.248
1.787,-0.021,1.415
-2.186,0.929,-1.979
5.324,1.125,3.721
6.976,-1.431,10.807
8.051,-8.832,11.57
-2.595,0.274,-0.59
1.133,18.136,-0.764
14.486,8.347,7.118
-15.811,8.945,-9.031
-6.748,2.471,-2.523
-2.594,-0.719,-2.08
-1.356,0.612,-1.076
0.195,-1.302,0.517
-0.164,0.012,0.093
0.86,-0.637,0.75
-0.2,-0.346,0.141
-0.026,-0.594,0.16
-0.491,-0.263,0.172
0.349,-0.087,-0.009
0.404,-0.225,-0.225
-0.276,0.176,0.613
-0.364,-0.296,-0.477
-0.334,0.284,0.217
-0.984,0.507,0.028
-0.868,-0.044,-1.049
-0.412,0.154,0.145
-1.036,0.452,-0.126
-0.45,0.612,-0.388
-0.248,0.229,-0.054
-0.715,1.012,-0.326
-0.295,-0.676,0.191
1.107,0.568,0.885
-0.136,-0.663,0.297
0.73,-0.326,0.901
0.129,0.777,0.96
0.271,-0.736,0.728
0.26,0.078,0.887
0.667,-0.685,1.761
0.566,-0.142,2.021
-0.667,-0.306,1.144
1.703,0.338,0.37
0.169,-0.314,0.69
-0.172,-0.102,-0.799
1.491,0.484,-1.222
0.053,0.065,-0.877
-0.728,0.276,-0.44
-0.675,0.571,0.035
-0.581,0.404,-0.164
-0.074,0.199,-0.856
0.391,0.354,-0.028
-0.549,-0.068,-0.325
0.062,0.192,-0.345
-0.475,0.125,-0.585
-0.487,0.207,-0.299
0.065,0.039,-0.243
-0.447,0.011,-0.39
0.921,-1.254,0.494
0.067,-0.539,1.134
-1.989,0.448,0.537
1.907,0.399,1.56
